0 	 1
0.2 	 0.980067
0.4 	 0.921061
0.6 	 0.825336
0.8 	 0.696707
1 	 0.540302
1.2 	 0.362358
1.4 	 0.169967
1.6 	 -0.0291995
1.8 	 -0.227202
2 	 -0.416147
2.2 	 -0.588501
2.4 	 -0.737394
2.6 	 -0.856889
2.8 	 -0.942222
3 	 -0.989992
3.2 	 -0.998295
3.4 	 -0.966798
3.6 	 -0.896758
3.8 	 -0.790968
4 	 -0.653644
4.2 	 -0.490261
4.4 	 -0.307333
4.6 	 -0.112153
4.8 	 0.087499
5 	 0.283662
5.2 	 0.468517
5.4 	 0.634693
5.6 	 0.775566
5.8 	 0.88552
6 	 0.96017
6.2 	 0.996542
6.4 	 0.993185
6.6 	 0.950233
6.8 	 0.869397
7 	 0.753902
7.2 	 0.608351
7.4 	 0.438547
7.6 	 0.25126
7.8 	 0.0539554
8 	 -0.1455
8.2 	 -0.339155
8.4 	 -0.519289
8.6 	 -0.67872
8.8 	 -0.811093
9 	 -0.91113
9.2 	 -0.974844
9.4 	 -0.999693
9.6 	 -0.984688
9.8 	 -0.930426
10 	 -0.839072
